No.,Location_EN,Location_CN,Name_EN,Name_CN,WGS84 Longitude,WGS84 Latitude,Collection Date,Picture_Asset_Name,type_cn,type_en,desc_cn,desc_en,video_link
22,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Statue of Zu Chongzhi,祖冲之像,"120.946239,31.392113",,2026-02-08,zuchongzhi.jpg,雕像,Statue,纪念曾在昆山任县令的古代伟大数学家、天文学家祖冲之。他将圆周率精确到小数点后七位。,"A statue commemorating Zu Chongzhi, the great ancient mathematician and astronomer who served as a magistrate in Kunshan. He calculated Pi to seven decimal places.",zuchongzhi_video.html
23,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Red Fruit & Jade Fragrance,丹实琼芳,"120.945908,31.391831",,2026-02-08,danshiqiongfang.jpg,景点,Scenic Spot,由树木与奇石构成的园林景观组合。,A scenic composition of trees and ornamental rocks.,
24,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Yangyu Garden,养馀园,"120.945031,31.391675",,2026-02-08,yangyu_garden.jpg,庭院 / 咖啡店,Courtyard / Café,拾级而上进入的庭院空间，内设咖啡店与盆栽陈设。,"A courtyard reached by steps, featuring a café and potted plants.",
25,Ailian Pavilion,中国江苏省苏州市亭林园,Flower Rain Pavilion,花雨轩,"120.944622,31.391309",,2026-02-08,huayu.jpg,轩,Pavilion,花木繁盛时如雨般飘落的观赏空间。,A pavilion where falling petals resemble gentle rain.,
26,Luohan Bridge,中国江苏省苏州市亭林园,Shuanglian Pavilion,双莲亭,"120.944334,31.391194",,2026-02-08,,,,,,
27,"Liuhui Park, Yushan, Kunshan, Suzhou, Jiangsu, China (100 meters north of Ma'anshan Road)",中国江苏省苏州市亭林园,Chuncai Lake,莼菜湖,,,2026-02-08,chuncai_lake.jpg,湖泊,Lake,又名‘小西湖’，园中特色水域景观之一，水面开阔宁静。,A calm and open water feature within the garden. It's also called small 'West Lake'.,
28,"Liuhui Park, Yushan, Kunshan, Suzhou, Jiangsu, China (100 meters north of Ma'anshan Road)",爱莲亭,Lotus Appreciation Pavilion,爱莲亭,"120.942543,31.391593",,2026-02-08,ailian.jpg,亭,Pavilion,体现“爱莲”品格的观景亭。,A pavilion celebrating the virtue and beauty of lotus flowers.,
29,"Liuhui Park, Yushan, Kunshan, Suzhou, Jiangsu, China (150 meters north of Ma'anshan Road)",罗汉桥,Arhat Bridge,罗汉桥,"120.942443,31.391351",,2026-02-08,luohan_bridge.jpg,桥,Bridge,园内造型古朴的桥梁景观。,A traditional-style bridge within the garden.,
1,"Liuhui Park, Yushan, Kunshan, Suzhou, Jiangsu, China (200 meters north of Ma'anshan Road)",中国江苏省苏州市昆山市玉山留晖公园(马鞍山东路北100米),Liuhui Pavilion,留晖亭,120.941559,31.389771,2026-02-08,liuhui.jpg,亭台,Pavilion,亭依山而建，位置绝佳，可在此欣赏朝晖夕阴之美，是休憩观景的好去处。,"Built against the mountain, this pavilion offers a perfect spot to enjoy the beauty of sunrise and sunset.",
2,"Liuhui Park, Yushan, Kunshan, Suzhou, Jiangsu, China (300 meters north of Ma'anshan Road)",中国江苏省苏州市昆山市玉山留晖公园(马鞍山东路北100米),Wenshi Garden,问石苑,120.94187,31.390062,2026-02-08,wenshi.jpg,园林,Garden,园中奇石林立，汇集了众多形态各异的昆石，展现了昆山深厚的石文化底蕴。,"Filled with unique rock formations, this garden showcases the profound stone culture of Kunshan through various Kunstones.",
3,"Liuhui Park, Yushan, Kunshan, Suzhou, Jiangsu, China",中国江苏省苏州市昆山市玉山留晖公园(马鞍山东路北150米),Suihan Pavilion,岁寒亭,120.941198,31.390355,2026-02-08,suihan.jpg,亭台,Pavilion,取意‘岁寒，然后知松柏之后凋也’。,Symbolizing resilience in winter.,
4,"Liuhui Park, Yushan, Kunshan, Suzhou, Jiangsu, China (300 meters east of Champion Road)",中国江苏省苏州市昆山市玉山留晖公园(马鞍山东路北200米),Lanshan Pavilion,揽山亭,120.94115,31.390958,2026-02-08,lanshan.jpg,亭台,Pavilion,登高望远。,High vantage point.,
5,,中国江苏省苏州市昆山市玉山留晖公园(马鞍山东路北300米),Shadow Mountain Pavilion,影山轩,120.940895,31.391419,2026-02-08,yingshan.jpg,轩,Pavilion,以走廊与光影变化见长的空间。,A space known for its galleria forest and shifting light and shadow.,
6,,中国江苏省苏州市昆山市玉山留晖公园,Qionghua Pavilion,琼华阁,120.940278,31.39155,2026-02-08,qionghua.jpg,建筑,Building,因琼花而得名，建筑古朴典雅。每当春日来临，琼花盛开，洁白如玉，蔚为壮观。,"Named after the Jade Flower (Viburnum), this elegant building is surrounded by spectacular white blooms in spring.",
7,,中国江苏省苏州市昆山市玉山留晖公园(冠军路东300米),Xiangxue,香雪,120.940173,31.391637,2026-02-08,xiangxue.jpg,景观,Scenic,梅花盛开如雪。,Plum blossoms like snow.,
